id,order,score,weight,color,label
SEN,1,3670,1,#ED6A5A,Senegal
BAN,2,2888,1,#F4F1BB,Bangladesh
SIR,3,2431,1,#9BC1BC,Síria
NIG,4,2416,1,#5CA4A9,Nigéria
GAN,5,1638,1,#E6EBE0,Gana
RDC,6,1229,1,#003459,Republica Democrática do Congo
COL,7,1143,1,#007EA7,Colômbia
LIB,8,1106,1,#00A8E8,Líbano
PAQ,9,841,1,#444B6E,Paquistão
GBI,10,817,1,#708B75,Guiné-Bissau
OUT,11,8466,1,#9AB87A,Outros
