date,value
12/31/2014,2.6556
12/31/2015,3.9042
7/16/2014,2.2187
2/25/2015,2.864
2/15/2016,3.9879
6/12/2014,2.2298
3/26/2014,2.3113
3/16/2015,3.2251
1/12/2015,2.6569
8/19/2014,2.2581
8/12/2014,2.2764
7/11/2014,2.2222
4/1/2014,2.2614
8/17/2015,3.4739
9/19/2014,2.365
1/28/2015,2.5791
9/30/2014,2.4504
8/15/2014,2.2684
12/26/2014,2.6806
7/2/2015,3.1166
10/22/2014,2.4775
10/22/2015,3.9354
7/9/2014,2.2128
1/26/2016,4.0961
1/18/2016,4.0358
6/22/2015,3.0751
4/23/2014,2.242
11/5/2014,2.5162
7/29/2014,2.2272
12/29/2014,2.6777
9/14/2015,3.8647
5/12/2014,2.2158
8/4/2014,2.2571
9/15/2015,3.8593
9/1/2014,2.2358
4/22/2014,2.2443
1/19/2016,4.0297
11/27/2014,2.5059
6/16/2014,2.2307
12/22/2015,3.9764
8/20/2014,2.2544
2/2/2016,3.9913
5/21/2015,3.0289
6/10/2014,2.229
5/7/2014,2.2276
11/25/2014,2.523
7/18/2014,2.2356
4/2/2015,3.1486
5/21/2014,2.2105
9/16/2014,2.3345
11/26/2015,3.76
11/21/2014,2.5384
12/3/2014,2.5601
6/15/2015,3.103
7/8/2014,2.2144
4/20/2015,3.0467
5/14/2015,3.0026
7/14/2014,2.217
1/11/2016,4.0147
10/7/2014,2.4032
5/16/2014,2.2104
11/18/2014,2.5961
8/26/2014,2.2742
12/7/2015,3.747
8/20/2015,3.4745
8/12/2015,3.482
5/13/2014,2.2095
12/24/2015,3.9511
6/17/2015,3.0983
8/1/2014,2.26
1/6/2015,2.7016
12/10/2014,2.5925
1/13/2015,2.6479
4/23/2015,3.0077
11/18/2015,3.7915
8/13/2014,2.2686
11/9/2015,3.7922
12/23/2015,3.9626
11/12/2014,2.5544
9/11/2014,2.2874
7/9/2015,3.2152
1/15/2015,2.6116
11/17/2014,2.6029
11/24/2015,3.7075
8/28/2014,2.2493
9/9/2015,3.7864
8/18/2014,2.2589
4/7/2014,2.232
5/5/2015,3.0619
8/25/2015,3.5339
4/14/2015,3.0874
11/24/2014,2.5276
10/15/2015,3.8337
3/11/2015,3.1156
3/2/2015,2.8649
11/19/2014,2.5843
8/29/2014,2.239
5/15/2015,2.9887
6/5/2014,2.2689
8/7/2015,3.5175
6/10/2015,3.0837
6/9/2014,2.233
7/22/2014,2.2123
7/16/2015,3.1369
3/17/2014,2.3513
3/18/2015,3.2512
6/27/2014,2.1969
12/2/2015,3.8539
11/26/2014,2.5097
3/25/2014,2.3118
11/27/2015,3.7392
7/21/2014,2.2232
1/8/2016,4.0244
4/10/2014,2.1982
2/24/2015,2.8643
2/18/2016,4.0084
1/25/2016,4.0991
12/17/2014,2.724
7/4/2014,2.2143
9/16/2015,3.8361
1/27/2015,2.5803
6/24/2015,3.0846
5/2/2014,2.2215
6/9/2015,3.0985
4/15/2015,3.0675
10/9/2014,2.3908
3/20/2015,3.2417
5/6/2015,3.0414
1/5/2016,4.0108
6/20/2014,2.2374
5/29/2014,2.2245
8/27/2014,2.2585
12/19/2014,2.648
10/13/2014,2.3917
6/25/2014,2.2046
11/17/2015,3.8045
3/21/2014,2.3239
4/29/2014,2.2193
8/10/2015,3.4903
3/19/2014,2.3333
1/22/2016,4.1226
5/8/2014,2.2101
1/7/2015,2.6801
10/24/2014,2.4799
10/28/2015,3.8791
7/10/2015,3.1891
2/13/2015,2.8385
12/15/2015,3.8697
1/22/2015,2.5748
6/3/2015,3.1178
12/30/2014,2.6556
6/23/2014,2.2189
12/28/2015,3.918
4/24/2014,2.2223
8/14/2015,3.4755
9/3/2014,2.2313
8/11/2014,2.2773
12/9/2015,3.7573
2/3/2016,3.9552
10/20/2015,3.865
10/30/2014,2.4113
5/13/2015,3.0096
4/22/2015,3.018
10/23/2015,3.8982
7/13/2015,3.1588
1/14/2015,2.6216
3/28/2014,2.2597
4/28/2015,2.8937
1/29/2016,4.0422
12/4/2015,3.7569
10/26/2015,3.8575
7/21/2015,3.1807
1/21/2015,2.5961
1/13/2016,3.9857
12/17/2015,3.8923
6/2/2015,3.1437
2/1/2016,3.9979
6/6/2014,2.2439
4/24/2015,2.9739
7/14/2015,3.1224
11/4/2015,3.768
6/30/2015,3.1019
11/20/2015,3.7
7/29/2015,3.3413
10/17/2014,2.447
4/9/2015,3.0459
11/3/2015,3.812
1/9/2015,2.6577
3/27/2014,2.2824
2/25/2016,3.9394
11/19/2015,3.7435
1/27/2016,4.0441
4/8/2015,3.0828
11/10/2014,2.5384
6/12/2015,3.1101
10/7/2015,3.8053
4/16/2015,3.0243
10/6/2015,3.8561
12/3/2015,3.7964
5/8/2015,2.9959
3/24/2015,3.1304
6/8/2015,3.1184
11/20/2014,2.544
3/3/2016,3.8498
4/8/2014,2.1968
3/31/2015,3.2074
4/1/2015,3.1549
6/18/2015,3.0466
4/4/2014,2.2414
4/27/2015,2.9229
11/11/2015,3.732
12/29/2015,3.8486
4/6/2015,3.092
10/28/2014,2.4863
10/30/2015,3.8582
3/23/2015,3.1793
3/2/2016,3.911
12/18/2014,2.6669
10/29/2014,2.434
8/27/2015,3.5549
2/22/2016,3.9612
10/5/2015,3.9135
2/4/2016,3.8646
10/9/2015,3.738
10/6/2014,2.4092
3/4/2016,3.7182
9/30/2015,3.9722
9/25/2015,3.9472
