date	ajustado
19/02/2010	188.4
22/02/2010	188.2
23/02/2010	190
24/02/2010	195
25/02/2010	196.5
26/02/2010	197.8
01/03/2010	198.1
02/03/2010	192.4
03/03/2010	194.9
04/03/2010	195.9
05/03/2010	195.5
08/03/2010	195.9
09/03/2010	196.4
10/03/2010	197.1
11/03/2010	197.4
12/03/2010	196.7
15/03/2010	197.6
16/03/2010	198.8
17/03/2010	197.9
18/03/2010	198.8
19/03/2010	197
22/03/2010	197.1
23/03/2010	197.5
24/03/2010	197.4
25/03/2010	162.6
26/03/2010	157
29/03/2010	157.7
30/03/2010	155.1
31/03/2010	157.7
01/04/2010	154.6
05/04/2010	152.5
06/04/2010	149.6
07/04/2010	149.4
08/04/2010	143.4
09/04/2010	144.1
12/04/2010	141
13/04/2010	142
14/04/2010	143
15/04/2010	145
16/04/2010	147.7
19/04/2010	145.5
20/04/2010	147.5
22/04/2010	146.4
23/04/2010	149.1
26/04/2010	147.4
27/04/2010	143.6
28/04/2010	139
29/04/2010	140.5
30/04/2010	143.7
03/05/2010	145.5
04/05/2010	141
05/05/2010	142.1
06/05/2010	138.5
07/05/2010	138.9
10/05/2010	141
11/05/2010	145.7
12/05/2010	146.8
13/05/2010	147.9
14/05/2010	145.8
17/05/2010	146.5
18/05/2010	143.4
19/05/2010	143
20/05/2010	139.6
21/05/2010	141
24/05/2010	141.6
25/05/2010	137.5
26/05/2010	141.2
27/05/2010	144.6
28/05/2010	151
31/05/2010	159.7
01/06/2010	163.2
02/06/2010	175
04/06/2010	176.5
07/06/2010	186
08/06/2010	177.5
09/06/2010	179
10/06/2010	182
11/06/2010	181.5
14/06/2010	183.8
15/06/2010	183.9
16/06/2010	165.3
17/06/2010	164.1
18/06/2010	167.4
21/06/2010	168
22/06/2010	166.5
23/06/2010	163.1
24/06/2010	161.7
25/06/2010	164.8
28/06/2010	163
29/06/2010	159.7
30/06/2010	160
01/07/2010	156.5
02/07/2010	161.5
05/07/2010	162.9
06/07/2010	162.5
07/07/2010	165.8
08/07/2010	165
12/07/2010	160.2
13/07/2010	161.5
14/07/2010	161.8
15/07/2010	160.5
16/07/2010	160
19/07/2010	160
20/07/2010	158
21/07/2010	158
22/07/2010	155
23/07/2010	157.5
26/07/2010	163.9
27/07/2010	164
28/07/2010	161
29/07/2010	158.6
30/07/2010	158.4
02/08/2010	156
03/08/2010	155
04/08/2010	152.9
05/08/2010	152.3
06/08/2010	151.6
09/08/2010	151.4
10/08/2010	148
11/08/2010	148.9
12/08/2010	149
13/08/2010	153.5
16/08/2010	151.4
17/08/2010	152
18/08/2010	160
19/08/2010	153.5
20/08/2010	153
23/08/2010	150.1
24/08/2010	149.4
25/08/2010	147
26/08/2010	144
27/08/2010	149.9
30/08/2010	150
31/08/2010	151.3
01/09/2010	155
02/09/2010	156
03/09/2010	155
06/09/2010	158
08/09/2010	150.5
09/09/2010	154.7
10/09/2010	150
13/09/2010	150
14/09/2010	149
15/09/2010	149.5
16/09/2010	149
17/09/2010	148
18/09/2010	150
21/09/2010	149
22/09/2010	150
23/09/2010	149.4
24/09/2010	150
27/09/2010	149.7
28/09/2010	147.9
29/09/2010	150
30/09/2010	150
01/10/2010	150.5
04/10/2010	148
05/10/2010	150.3
06/10/2010	151
07/10/2010	151.3
08/10/2010	154.6
11/10/2010	153.6
13/10/2010	156.5
14/10/2010	154
15/10/2010	154.7
18/10/2010	154.4
19/10/2010	155.5
20/10/2010	156.6
21/10/2010	156.4
22/10/2010	155
25/10/2010	152.9
26/10/2010	156
27/10/2010	157.6
28/10/2010	157
29/10/2010	159.3
01/11/2010	163.2
03/11/2010	164.5
04/11/2010	163.5
05/11/2010	163
08/11/2010	164.9
09/11/2010	164.5
10/11/2010	162.5
11/11/2010	162.5
12/11/2010	160
16/11/2010	154
17/11/2010	155
18/11/2010	156.9
19/11/2010	157.6
22/11/2010	154
23/11/2010	147
24/11/2010	148.5
25/11/2010	149.8
26/11/2010	146.3
29/11/2010	145.8
30/11/2010	143.7
01/12/2010	148.9
02/12/2010	148.8
03/12/2010	148.7
06/12/2010	147.9
07/12/2010	146.8
08/12/2010	148
09/12/2010	146.5
10/12/2010	145.7
13/12/2010	148.3
14/12/2010	149.9
15/12/2010	148.4
16/12/2010	147.9
17/12/2010	147.4
20/12/2010	147.6
21/12/2010	151
22/12/2010	145.9
23/12/2010	144.6
27/12/2010	143.6
28/12/2010	149
29/12/2010	152.5
30/12/2010	153.4
03/01/2011	152.8
04/01/2011	155
05/01/2011	157.9
06/01/2011	158.2
07/01/2011	159.2
10/01/2011	158.4
11/01/2011	158
12/01/2011	158.4
13/01/2011	162
14/01/2011	162.4
17/01/2011	161.5
18/01/2011	163.5
19/01/2011	162.5
20/01/2011	164.9
21/01/2011	165.3
24/01/2011	168
26/01/2011	167.2
27/01/2011	170.9
28/01/2011	170
31/01/2011	172.9
01/02/2011	170.8
02/02/2011	170
03/02/2011	170.9
04/02/2011	169.8
07/02/2011	170.5
08/02/2011	170
09/02/2011	169.7
10/02/2011	168
11/02/2011	168.8
14/02/2011	169.2
15/02/2011	165.9
16/02/2011	165.9
17/02/2011	166.3
18/02/2011	165.3
21/02/2011	168.3
22/02/2011	165.2
23/02/2011	167.9
24/02/2011	162
25/02/2011	164
28/02/2011	163.5
01/03/2011	161
02/03/2011	162.5
03/03/2011	165
04/03/2011	164.9
09/03/2011	165.9
10/03/2011	168.5
11/03/2011	167.5
14/03/2011	165.4
15/03/2011	166
16/03/2011	164.5
17/03/2011	165.1
18/03/2011	167
21/03/2011	167.8
22/03/2011	169
23/03/2011	167.5
24/03/2011	169
25/03/2011	175.1
28/03/2011	176.9
29/03/2011	175.9
30/03/2011	176
31/03/2011	176.6
01/04/2011	177.9
04/04/2011	179.7
05/04/2011	181
06/04/2011	181
07/04/2011	178
08/04/2011	178
11/04/2011	179.8
12/04/2011	175.6
13/04/2011	178
14/04/2011	182.8
15/04/2011	184.5
18/04/2011	183.4
19/04/2011	183.4
20/04/2011	177
25/04/2011	173.4
26/04/2011	173.4
27/04/2011	169.9
28/04/2011	171.4
29/04/2011	168.7
02/05/2011	168
03/05/2011	165
04/05/2011	165
05/05/2011	166.5
06/05/2011	169.9
09/05/2011	169.6
10/05/2011	171.4
11/05/2011	169
12/05/2011	170
13/05/2011	168.5
16/05/2011	168
17/05/2011	169.4
18/05/2011	169.1
19/05/2011	170
20/05/2011	170
23/05/2011	169.2
24/05/2011	179.8
25/05/2011	176
26/05/2011	173
27/05/2011	171.9
30/05/2011	170
31/05/2011	173.9
01/06/2011	173
02/06/2011	173.5
03/06/2011	174.7
06/06/2011	170
07/06/2011	169
08/06/2011	166.8
09/06/2011	164
10/06/2011	162.1
13/06/2011	166
14/06/2011	167.4
15/06/2011	165
16/06/2011	164.3
17/06/2011	162
20/06/2011	163.5
21/06/2011	166.2
22/06/2011	163.1
24/06/2011	165.7
27/06/2011	168
28/06/2011	168
29/06/2011	167
30/06/2011	170.5
01/07/2011	170
04/07/2011	170
05/07/2011	167
06/07/2011	164.7
07/07/2011	164.9
08/07/2011	159.9
11/07/2011	152.2
12/07/2011	155.5
13/07/2011	157.3
14/07/2011	157.9
15/07/2011	154
18/07/2011	153
19/07/2011	153.3
20/07/2011	152.9
21/07/2011	156.1
22/07/2011	159
25/07/2011	156.3
26/07/2011	153.6
27/07/2011	153.5
28/07/2011	151.9
29/07/2011	152.8
01/08/2011	134
02/08/2011	133.8
03/08/2011	130.8
04/08/2011	125
05/08/2011	125
08/08/2011	118
09/08/2011	128.5
10/08/2011	128.5
11/08/2011	136
12/08/2011	131
15/08/2011	133
16/08/2011	133
17/08/2011	134
18/08/2011	136.8
19/08/2011	134.5
22/08/2011	126.5
23/08/2011	126.3
24/08/2011	125
25/08/2011	123
26/08/2011	125
29/08/2011	128.6
30/08/2011	127.8
31/08/2011	128.5
01/09/2011	129
02/09/2011	125.4
05/09/2011	120.5
06/09/2011	123.3
08/09/2011	123.8
09/09/2011	120.8
12/09/2011	121.2
13/09/2011	122.5
14/09/2011	124.9
15/09/2011	123.8
16/09/2011	122.6
19/09/2011	125
20/09/2011	122.5
21/09/2011	123
22/09/2011	119.7
23/09/2011	123.9
26/09/2011	122.9
27/09/2011	119.9
28/09/2011	119.9
29/09/2011	122.9
30/09/2011	122.9
03/10/2011	119
04/10/2011	113.9
05/10/2011	119.7
06/10/2011	116
07/10/2011	115.8
10/10/2011	116.1
11/10/2011	115.9
13/10/2011	116.2
14/10/2011	118
17/10/2011	119.5
18/10/2011	124
19/10/2011	124
20/10/2011	121
21/10/2011	125.8
24/10/2011	125.8
25/10/2011	126.5
26/10/2011	126.5
27/10/2011	131.9
28/10/2011	129.9
31/10/2011	129.1
01/11/2011	130
03/11/2011	128.4
04/11/2011	128.9
07/11/2011	129.5
08/11/2011	125
09/11/2011	123
10/11/2011	126.3
11/11/2011	129.9
14/11/2011	126.5
16/11/2011	125.3
17/11/2011	122.9
18/11/2011	118.5
21/11/2011	119.9
22/11/2011	114.5
23/11/2011	113.9
24/11/2011	114
25/11/2011	112.5
28/11/2011	117.6
29/11/2011	115.1
30/11/2011	119.5
01/12/2011	120
02/12/2011	120
05/12/2011	119.1
06/12/2011	122.6
07/12/2011	117
08/12/2011	117
09/12/2011	121
12/12/2011	118.9
13/12/2011	121.2
14/12/2011	119.8
15/12/2011	116.2
16/12/2011	117.6
19/12/2011	115.7
20/12/2011	120.8
21/12/2011	119.5
22/12/2011	119.2
23/12/2011	123
26/12/2011	122.9
27/12/2011	123.3
28/12/2011	118
29/12/2011	116.9
02/01/2012	120
03/01/2012	122.9
04/01/2012	122.6
05/01/2012	120.4
06/01/2012	121.9
09/01/2012	122
10/01/2012	121.1
11/01/2012	119.6
12/01/2012	119.9
13/01/2012	118.5
16/01/2012	118.4
17/01/2012	119.9
18/01/2012	119.3
19/01/2012	119.8
20/01/2012	117.5
23/01/2012	117
24/01/2012	117
26/01/2012	118.5
