id,value
Barack Obama (EUA),0.3
Angela Merkel (Alemanha),0.13
David Cameron (Reino Unido),0.1
François Hollande (França),0.06
Vladimir Putin (Rússia),-10
Xi Jinping (China),-3
Narendra Modi (Índia),0.04
Dilma Rousseff (Brasil),1
Rei Salman bin Abdulaziz al Saud (Arábia Saudita),-11
Hassan Rouhani (Irã),-13
MEDIANA,0.05
MÉDIA,-3.54
